selected,selection_key,method,scenario,experiment_id,eval_name,repeat,episode_id,line_no,result,win,score,terminal_hp_margin,final_hp_delta,final_hp_my,final_hp_enemy,final_game_loop,frame_count,state_seq_len,unique_state_count,ood_frames,ood_ratio,mechanism_changed_frames,mechanism_changed_ratio,switch_frames,tuning_frames,tuning_ratio,gate_frames,gate_ratio,gate_A_mean,gate_A_max,gate_A_positive_ratio,gate_A_pass_ratio,gate_C_mean,gate_C_max,gate_C_pass_ratio,gate_v_mean,gate_v_max,gate_v_support_mean,gate_v_support_max,gate_supported_frames,gate_supported_ratio,gate_validated_frames,gate_validated_ratio,gate_joint_pass_ratio,gate_changed_ratio,gate_mean_evidence_score,gate_peak_evidence_score,gate_mean_gate_pass_score,gate_peak_gate_pass_score,gate_mean_rectification_score,gate_peak_rectification_score,gate_mean_support_score,gate_peak_support_score,avg_decision_ms,first_state_key,last_state_key,eval_dir,batch_tag,score_numeric,score_bin,etg_subset_mean_score,etg_subset_std_score,counterpart_rule,synergy_selected_mean_score,synergy_selected_median_score,synergy_selected_std_score,target_mean_score,target_median_score,counterpart_rank
False,repeat_001::ep_178::line_178,ETG-only,sce-1,sce1_etg_run_0068,eval_run_0068_web_batch_20260622_141137,repeat_001,178,178,Win,True,87.0,87.0,3.0,87.0,0.0,30834,17,17,14,5,0.2941176470588235,0,0.0,0,9,0.5294117647058824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1902444444428713,0,5136,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce1_etg_run_0068\final_eval\eval_run_0068_web_batch_20260622_141137,web_batch_20260622_141137,87.0,9,52.02,15.563477059507573,original_final_eval_subset_lower_mean_high_variation,61.23,61.5,12.233300305462805,58.73,59.5,1
False,repeat_001::ep_47::line_47,ETG-only,sce-1,sce1_etg_run_0068,eval_run_0068_web_batch_20260622_141137,repeat_001,47,47,Win,True,84.0,84.0,9.0,84.0,0.0,7822,17,17,14,5,0.2941176470588235,0,0.0,1,3,0.1764705882352941,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1771333333344671,0,3814,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce1_etg_run_0068\final_eval\eval_run_0068_web_batch_20260622_141137,web_batch_20260622_141137,84.0,9,52.02,15.563477059507573,original_final_eval_subset_lower_mean_high_variation,61.23,61.5,12.233300305462805,58.73,59.5,2
False,repeat_001::ep_10::line_10,ETG-only,sce-1,sce1_etg_run_0068,eval_run_0068_web_batch_20260622_141137,repeat_001,10,10,Win,True,81.0,81.0,6.0,81.0,0.0,1788,13,13,12,4,0.3076923076923077,0,0.0,1,4,0.3076923076923077,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2007250000000127,0,3074,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce1_etg_run_0068\final_eval\eval_run_0068_web_batch_20260622_141137,web_batch_20260622_141137,81.0,9,52.02,15.563477059507573,original_final_eval_subset_lower_mean_high_variation,61.23,61.5,12.233300305462805,58.73,59.5,3
False,repeat_001::ep_26::line_26,ETG-only,sce-1,sce1_etg_run_0068,eval_run_0068_web_batch_20260622_141137,repeat_001,26,26,Win,True,81.0,81.0,15.0,81.0,0.0,4350,15,15,14,4,0.2666666666666666,0,0.0,0,3,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2196333333325621,0,3975,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce1_etg_run_0068\final_eval\eval_run_0068_web_batch_20260622_141137,web_batch_20260622_141137,81.0,9,52.02,15.563477059507573,original_final_eval_subset_lower_mean_high_variation,61.23,61.5,12.233300305462805,58.73,59.5,4
False,repeat_001::ep_58::line_58,ETG-only,sce-1,sce1_etg_run_0068,eval_run_0068_web_batch_20260622_141137,repeat_001,58,58,Win,True,81.0,81.0,15.0,81.0,0.0,9734,15,15,13,5,0.3333333333333333,0,0.0,0,3,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2311666666668562,0,2026,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce1_etg_run_0068\final_eval\eval_run_0068_web_batch_20260622_141137,web_batch_20260622_141137,81.0,9,52.02,15.563477059507573,original_final_eval_subset_lower_mean_high_variation,61.23,61.5,12.233300305462805,58.73,59.5,5
False,repeat_001::ep_256::line_256,ETG-only,sce-1,sce1_etg_run_0068,eval_run_0068_web_batch_20260622_141137,repeat_001,256,256,Win,True,81.0,81.0,3.0,81.0,0.0,44270,16,16,15,6,0.375,0,0.0,0,8,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3009624999990024,0,4999,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce1_etg_run_0068\final_eval\eval_run_0068_web_batch_20260622_141137,web_batch_20260622_141137,81.0,9,52.02,15.563477059507573,original_final_eval_subset_lower_mean_high_variation,61.23,61.5,12.233300305462805,58.73,59.5,6
False,repeat_001::ep_169::line_169,ETG-only,sce-1,sce1_etg_run_0068,eval_run_0068_web_batch_20260622_141137,repeat_001,169,169,Win,True,78.0,78.0,9.0,78.0,0.0,29206,16,16,12,3,0.1875,0,0.0,1,3,0.1875,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2324333333329301,0,477,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce1_etg_run_0068\final_eval\eval_run_0068_web_batch_20260622_141137,web_batch_20260622_141137,78.0,9,52.02,15.563477059507573,original_final_eval_subset_lower_mean_high_variation,61.23,61.5,12.233300305462805,58.73,59.5,7
False,repeat_001::ep_291::line_291,ETG-only,sce-1,sce1_etg_run_0068,eval_run_0068_web_batch_20260622_141137,repeat_001,291,291,Win,True,78.0,78.0,3.0,78.0,0.0,50270,18,18,15,4,0.2222222222222222,0,0.0,0,4,0.2222222222222222,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2028499999973121,0,477,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce1_etg_run_0068\final_eval\eval_run_0068_web_batch_20260622_141137,web_batch_20260622_141137,78.0,9,52.02,15.563477059507573,original_final_eval_subset_lower_mean_high_variation,61.23,61.5,12.233300305462805,58.73,59.5,8
False,repeat_001::ep_240::line_240,ETG-only,sce-1,sce1_etg_run_0068,eval_run_0068_web_batch_20260622_141137,repeat_001,240,240,Win,True,75.0,75.0,15.0,75.0,0.0,41398,13,13,13,3,0.2307692307692307,0,0.0,1,4,0.3076923076923077,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2278249999996262,0,5186,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce1_etg_run_0068\final_eval\eval_run_0068_web_batch_20260622_141137,web_batch_20260622_141137,75.0,9,52.02,15.563477059507573,original_final_eval_subset_lower_mean_high_variation,61.23,61.5,12.233300305462805,58.73,59.5,9
False,repeat_001::ep_265::line_265,ETG-only,sce-1,sce1_etg_run_0068,eval_run_0068_web_batch_20260622_141137,repeat_001,265,265,Win,True,75.0,75.0,9.0,75.0,0.0,45768,16,16,14,4,0.25,0,0.0,0,3,0.1875,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2324000000015758,0,3495,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce1_etg_run_0068\final_eval\eval_run_0068_web_batch_20260622_141137,web_batch_20260622_141137,75.0,9,52.02,15.563477059507573,original_final_eval_subset_lower_mean_high_variation,61.23,61.5,12.233300305462805,58.73,59.5,10
