state_id,x,y,visits,method_count,methods,color,category,marker
660,2.9232803466035633,-0.8287765485661786,49,2,ETG-only;Synergy,#dbdbdb,calp_shared,^
58,1.126311946020388,4.8454827669759695,47,3,QMIX;QTRAN;VDN,#c3c3c3,baseline_shared,o
144,4.92274322608442,-0.06747204572387108,47,4,ETG-only;MAT;QMIX;RMAPPO,#acacac,cross_shared,D
622,2.8948788985220175,-0.4126926486863906,47,1,RMAPPO,#8C564B,baseline_unique,o
554,4.818328851054868,-0.43268860123567937,46,3,ETG-only;MAPPO;Synergy,#c3c3c3,cross_shared,D
54,-1.7471362767367213,-1.2561247613249373,44,2,QMIX;VDN,#dbdbdb,baseline_shared,o
211,0.4371050964599633,2.0617771718681346,44,2,QMIX;QTRAN,#dbdbdb,baseline_shared,o
175,-1.8216543759208852,-1.0604784495117456,43,4,MAT;QMIX;QTRAN;VDN,#acacac,baseline_shared,o
558,0.6903283079410893,-0.857875365939997,43,3,ETG-only;MAPPO;Synergy,#c3c3c3,cross_shared,D
31,3.366265502135342,2.4859822578081,42,4,MAT;QMIX;QTRAN;VDN,#acacac,baseline_shared,o
19,3.1891300155050253,2.6169317449251226,41,3,MAT;QMIX;VDN,#c3c3c3,baseline_shared,o
711,1.329828340164922,-1.5685830784755963,41,2,ETG-only;Synergy,#dbdbdb,calp_shared,^
34,-3.945277174039501,-2.889403582457127,38,2,MAT;QMIX,#dbdbdb,baseline_shared,o
619,-1.4302533452870476,-2.7039928229018875,38,1,RMAPPO,#8C564B,baseline_unique,o
623,2.7235804980336247,0.7079812074076889,38,3,ETG-only;RMAPPO;Synergy,#c3c3c3,cross_shared,D
28,-1.4657754582446927,-0.3979073464001832,37,3,QMIX;QTRAN;VDN,#c3c3c3,baseline_shared,o
112,2.49112218952853,1.4044539242526766,37,3,MAT;QMIX;VDN,#c3c3c3,baseline_shared,o
142,2.5702692176496176,0.6646926982153131,36,2,MAPPO;QMIX,#dbdbdb,baseline_shared,o
567,2.560706637237111,-0.003577051499118049,35,3,ETG-only;MAPPO;Synergy,#c3c3c3,cross_shared,D
73,2.5531552627257494,1.0814683640944855,34,2,ETG-only;QMIX,#dbdbdb,cross_shared,D
78,2.5976492343536535,0.43699271540455303,34,4,MAPPO;MAT;QMIX;VDN,#acacac,baseline_shared,o
192,-3.5379548729697374,-2.0546986337246493,34,2,MAT;QMIX,#dbdbdb,baseline_shared,o
37,-1.7156619982145644,-1.1538556654694851,33,2,MAT;QMIX,#dbdbdb,baseline_shared,o
93,4.941740572080527,0.6874191815154267,33,2,QMIX;VDN,#dbdbdb,baseline_shared,o
223,0.41927915473382793,-0.7406736639281295,33,2,MAT;QMIX,#dbdbdb,baseline_shared,o
307,-1.5804566626895598,-2.4710403300771286,33,3,QMIX;QTRAN;RMAPPO,#c3c3c3,baseline_shared,o
27,-1.4860195157942524,-1.4535344401486776,32,3,MAT;QMIX;VDN,#c3c3c3,baseline_shared,o
298,3.118285340222147,3.1391798375572875,32,2,QMIX;RMAPPO,#dbdbdb,baseline_shared,o
