source,target,transition_count,state_distance,methods,category
15,804,1,3.222097086912079,Synergy,calp
15,809,1,0.9158470869120796,Synergy,calp
26,25,4,1.0666666666666667,,baseline
26,27,8,0.8312499999999998,QMIX,baseline
26,24,3,1.9999999999999998,,baseline
26,52,3,3.5999999999999996,QMIX,baseline
26,54,2,1.2937499999999997,QMIX,baseline
26,164,1,1.0666666666666667,QMIX,baseline
26,53,3,0.6270833333333332,QMIX,baseline
26,36,8,0.909375,MAPPO;QMIX,baseline
26,225,1,1.0887637535787462,QMIX,baseline
26,320,2,1.8979166666666667,QTRAN,baseline
26,178,1,0.7999999999999999,QTRAN,baseline
26,105,12,0.9482075214724777,QTRAN,baseline
26,352,2,2.3447916666666666,QTRAN,baseline
26,327,2,0.8937499999999998,QTRAN,baseline
26,366,20,0.6427083333333332,MAPPO;QTRAN;RMAPPO,baseline
26,551,6,2.148207521472478,MAPPO,baseline
26,613,1,0.6270833333333332,RMAPPO,baseline
26,81,5,2.933333333333333,RMAPPO,baseline
26,307,1,0.5710554202454128,RMAPPO,baseline
26,649,12,1.449180420245413,ETG-only,calp
26,653,13,2.4220970869120793,ETG-only,calp
26,662,59,1.093374594069572,ETG-only;Synergy,calp
26,689,6,2.533333333333333,ETG-only,calp
26,697,4,1.6072916666666668,ETG-only,calp
26,704,3,1.497165854805811,ETG-only,calp
26,705,1,2.925,ETG-only,calp
26,644,2,3.5916666666666663,ETG-only,calp
26,737,1,1.4933745940695722,ETG-only,calp
26,706,1,3.5916666666666663,ETG-only,calp
26,745,9,1.6072916666666666,Synergy,calp
26,762,38,2.940625,Synergy,calp
26,193,7,3.234938562148434,Synergy,calp
26,652,3,2.8441941738241594,Synergy,calp
26,790,1,0.9093749999999999,Synergy,calp
33,34,27,1.066666666666667,MAT;QMIX,baseline
33,52,6,1.082291666666667,QMIX,baseline
33,69,23,0.5802083333333334,MAPPO;MAT;QMIX;RMAPPO,baseline
33,12,7,0.8156250000000002,,baseline
33,174,1,0.7135416666666669,QMIX,baseline
33,94,4,0.9489583333333336,MAT;QMIX;VDN,baseline
33,242,2,1.1043887535787464,QMIX;VDN,baseline
33,138,7,1.3489583333333335,MAPPO;MAT;QMIX;QTRAN,baseline
33,397,11,0.8156250000000003,VDN,baseline
33,439,1,0.5489583333333334,VDN,baseline
33,449,6,1.0979166666666669,VDN,baseline
33,155,3,1.3489583333333337,VDN,baseline
33,1,2,0.815625,,baseline
33,184,1,1.0979166666666669,MAT,baseline
33,13,3,1.3489583333333335,,baseline
33,634,3,0.8,RMAPPO,baseline
33,662,4,2.9931525071574927,Synergy,calp
33,697,1,2.6979166666666665,Synergy,calp
323,402,18,1.3489583333333337,VDN,baseline
323,257,11,0.5645833333333333,,baseline
323,104,2,1.0822916666666669,,baseline
323,550,1,0.5489583333333337,MAPPO,baseline
323,649,4,3.088763753578746,ETG-only;Synergy,calp
323,740,1,0.9333333333333333,ETG-only,calp
323,704,2,2.03125,ETG-only;Synergy,calp
323,662,3,3.266291260736239,Synergy,calp
22,23,23,0.5333333333333334,MAPPO;QMIX;QTRAN;RMAPPO;VDN,baseline
22,24,14,1.066666666666667,MAPPO;QMIX,baseline
22,84,13,1.110860840490826,QMIX;VDN,baseline
22,1,8,0.5333333333333332,,baseline
22,13,3,1.355430420245413,,baseline
22,239,1,1.0887637535787467,QMIX,baseline
22,411,6,0.5333333333333334,VDN,baseline
22,2,3,1.3333333333333337,,baseline
22,428,9,0.5489583333333334,VDN,baseline
22,436,6,0.5333333333333334,VDN,baseline
22,402,3,1.3489583333333337,MAT;VDN,baseline
22,94,2,1.4666666666666672,VDN,baseline
22,319,1,1.3645833333333337,VDN,baseline
22,465,1,1.1329579274029058,MAT,baseline
