(1, 1)	0	0.0
(1, 2)	1	10.535247802712547
(1, 3)	2	3.603654384613037
(2, 1)	3	-3.19921875
(3, 1)	4	-3.52734375
(3, 2)	5	-8.800048828125
(4, 1)	6	-34.294921875
(4, 2)	7	-24.0
(4, 3)	8	-52.5
(5, 1)	9	-48.75
(1, 5)	10	-2.0954757928848267e-09
(1, 6)	11	-12.5859375
(1, 7)	12	-8.14524069467734
(3, 7)	13	-18.82339668156089
(3, 8)	14	-10.801550670352299
(6, 2)	15	-22.64794921875
(6, 3)	16	-30.1875
(6, 4)	17	-25.5
(7, 3)	18	-41.0478515625
(7, 4)	19	-63.0
(8, 2)	20	-56.3642578125
(9, 2)	21	6.833641573326032
(9, 3)	22	-15
(3, 10)	23	3.000000357614854
(6, 6)	24	-17.34375
(6, 7)	25	-3.0
(6, 8)	26	-15.0
(10, 6)	27	-16.80939245223999
(7, 5)	28	-17.435044982470572
(13, 1)	29	-21.272400431646055
(14, 1)	30	-23.608323778883427
(2, 2)	31	-45
(2, 3)	32	-45
(2, 4)	33	-51
(15, 1)	34	-51.0
(15, 2)	35	-60
(15, 3)	36	-72
(16, 1)	37	-84.0
(17, 1)	38	-90
(3, 3)	39	1.1218686257489026
(3, 11)	40	8.033702022268095
(18, 1)	41	14.450493913881383
(10, 1)	42	5.372193889748494
(10, 9)	43	5.2334974050477605
(10, 10)	44	2.4989067802671343
(10, 11)	45	-1.5135498046875
(1, 14)	46	-12.003662109375
(9, 4)	47	-12.0
(3, 9)	48	-9.253136023900446
(3, 12)	49	18.55715560913086
(18, 2)	50	9.351563694443833
(10, 12)	51	23.787230735577836
(10, 13)	52	9.260353088378906
(10, 14)	53	6.043204747911659
(11, 3)	54	26.997067183015737
(11, 4)	55	35.97430198642027
(12, 2)	56	43.86746868667477
(1, 16)	57	-2.9376624897122383
(9, 5)	58	9.448667816094735
(3, 14)	59	5.6033935546875
(3, 4)	60	-3.328125
(3, 15)	61	1.170709866013567
(18, 3)	62	3.776313447505566
(7, 7)	63	11.210966891902931
(13, 2)	64	11.918481007218276
(13, 3)	65	11.177136065849176
(13, 4)	66	7.924316793323252
(19, 1)	67	12.238994743987403
(1, 12)	68	-4.5
(1, 17)	69	5.25
(1, 18)	70	6
(3, 5)	71	-5.4375
(18, 4)	72	6.75
(10, 16)	73	-13.5
(7, 8)	74	-7.1368103027381355
(7, 1)	75	-24.316155789780055
(7, 2)	76	-31.108746856718348
(8, 1)	77	-36.64349345044374
(1, 20)	78	-12
(2, 8)	79	-18.0
(6, 9)	80	-20.0625
(6, 13)	81	-2.625
(10, 18)	82	-21.1640625
(10, 19)	83	-16.5
