scenario,state_digest,methods,source_relation,frames,episodes,ood_frames,ood_ratio,mean_hp_my,mean_hp_enemy,mean_hp_margin,mean_hp_total,mean_game_progress,median_game_progress,mean_score_conditioned,synergy_frames,synergy_ood_ratio,gate_changed_ratio,gate_validation_ratio,gate_opportunity_ratio,mean_gate_confidence,mean_gate_advantage,mean_gate_candidate_visits,top_action_source,top_tuning_reason
sce-2,1205545ed461639d,ETG-only,source_etg_supported,1,1,0,0.0,72.0,0.0,72.0,72.0,1.0,1.0,72.0,0,,,,,,,,kg_relaxed,
sce-2,144fbd9963a44caa,ETG-only,source_etg_supported,1,1,0,0.0,156.0,135.0,21.0,291.0,0.16666666666666666,0.16666666666666666,78.0,0,,,,,,,,kg_follow,
sce-2,8596c481ed95d6f1,ETG-only,source_etg_supported,1,1,0,0.0,120.0,90.0,30.0,210.0,0.4166666666666667,0.4166666666666667,78.0,0,,,,,,,,kg_plan,
sce-2,d1a3aae26be5ea85,ETG-only,source_etg_supported,1,1,0,0.0,96.0,66.0,30.0,162.0,0.5833333333333334,0.5833333333333334,78.0,0,,,,,,,,kg_plan,
sce-2,7abf7a5680f21cbf,ETG-only,etg_selected_outside_source_etg,1,1,1,1.0,96.0,42.0,54.0,138.0,0.6666666666666666,0.6666666666666666,78.0,0,,,,,,,,ood,
sce-2,75db6e3eae8cd69b,ETG-only,source_etg_supported,1,1,0,0.0,84.0,30.0,54.0,114.0,0.75,0.75,78.0,0,,,,,,,,kg_relaxed,
sce-2,18b359d41ab031e3,ETG-only,source_etg_supported,1,1,0,0.0,78.0,15.0,63.0,93.0,0.8333333333333334,0.8333333333333334,78.0,0,,,,,,,,kg_plan,
sce-2,584ade8673775b33,ETG-only,source_etg_supported,1,1,0,0.0,78.0,3.0,75.0,81.0,0.9166666666666666,0.9166666666666666,78.0,0,,,,,,,,kg_relaxed,
sce-2,28640eb32b71e16e,ETG-only,source_etg_supported,1,1,0,0.0,78.0,0.0,78.0,78.0,1.0,1.0,78.0,0,,,,,,,,kg_relaxed,
sce-2,a5a07c9d49b06874,ETG-only,source_etg_supported,1,1,0,0.0,180.0,180.0,0.0,360.0,0.0,0.0,72.0,0,,,,,,,,kg_plan,
sce-2,543924da7a68e33b,ETG-only,source_etg_supported,1,1,0,0.0,156.0,156.0,0.0,312.0,0.09090909090909091,0.09090909090909091,72.0,0,,,,,,,,kg_follow,
sce-2,ef10aa2835f6bcd3,ETG-only,source_etg_supported,1,1,0,0.0,150.0,135.0,15.0,285.0,0.18181818181818182,0.18181818181818182,72.0,0,,,,,,,,diverge,
sce-2,615a89c606b4a504,ETG-only,source_etg_supported,1,1,0,0.0,132.0,129.0,3.0,261.0,0.2727272727272727,0.2727272727272727,72.0,0,,,,,,,,kg_plan,
sce-2,394a4657b5e8dc74,ETG-only,source_etg_supported,1,1,0,0.0,114.0,111.0,3.0,225.0,0.36363636363636365,0.36363636363636365,72.0,0,,,,,,,,diverge,
sce-2,3601a68e2179c424,ETG-only,source_etg_supported,1,1,0,0.0,108.0,90.0,18.0,198.0,0.45454545454545453,0.45454545454545453,72.0,0,,,,,,,,kg_plan,
sce-2,ec15d143b9e9ff88,ETG-only,source_etg_supported,1,1,0,0.0,102.0,72.0,30.0,174.0,0.5454545454545454,0.5454545454545454,72.0,0,,,,,,,,kg_plan,
sce-2,30b5bbf99083545e,ETG-only,source_etg_supported,1,1,0,0.0,90.0,66.0,24.0,156.0,0.6363636363636364,0.6363636363636364,72.0,0,,,,,,,,diverge,
sce-2,66619fae388300a5,ETG-only,source_etg_supported,1,1,0,0.0,78.0,42.0,36.0,120.0,0.7272727272727273,0.7272727272727273,72.0,0,,,,,,,,diverge,
sce-2,e6bd4a9a4df27b3d,ETG-only,etg_selected_outside_source_etg,1,1,1,1.0,78.0,33.0,45.0,111.0,0.8181818181818182,0.8181818181818182,72.0,0,,,,,,,,ood,
sce-2,6c5dc027be9c535a,ETG-only,source_etg_supported,1,1,0,0.0,72.0,21.0,51.0,93.0,0.9090909090909091,0.9090909090909091,72.0,0,,,,,,,,kg_relaxed,
sce-2,21ab3ad1da9d730d,ETG-only,source_etg_supported,1,1,0,0.0,72.0,0.0,72.0,72.0,1.0,1.0,72.0,0,,,,,,,,kg_relaxed,
sce-2,052187665e2c3325,ETG-only,source_etg_supported,1,1,0,0.0,144.0,135.0,9.0,279.0,0.18181818181818182,0.18181818181818182,84.0,0,,,,,,,,diverge,
