scenario,source_relation,unique_states,frames,frame_share,frame_weighted_hp_margin,frame_weighted_hp_my,frame_weighted_hp_enemy,frame_weighted_game_progress,frame_weighted_score_conditioned,gate_changed_ratio,gate_validation_ratio,mean_gate_confidence,mean_gate_advantage,mean_gate_candidate_visits
sce-1,source_etg_supported,1470,3011,0.8722479721900348,27.749252739953505,92.31849883759548,64.56924609764198,0.5383392830233645,54.57688475589505,0.047156726768377254,0.6324549237170597,0.2996330790568655,8.614361650485437,200.4494976359338
sce-1,etg_selected_outside_source_etg,82,108,0.031286210892236384,11.11111111111111,121.91666666666667,110.80555555555556,0.27494932095895286,62.30555555555556,,,,,
sce-1,shared_selected_outside_source_etg,56,238,0.06894553881807648,5.546218487394958,129.06302521008402,123.51680672268908,0.2080400535621091,63.57983193277311,0.0070921985815602835,0.11347517730496454,0.07137801418439715,-0.7302929078014184,409.5
sce-1,synergy_selected_outside_source_etg,66,95,0.027520278099652375,8.810526315789474,121.48421052631579,112.67368421052632,0.272130099003164,61.642105263157895,0.010526315789473684,0.06315789473684211,0.04799368421052632,0.07594105263157895,326.8
sce-1m,source_etg_supported,1766,2489,0.76,10.645239051828044,78.58336681398151,67.93812776215347,0.5484053738450173,27.940136601044596,0.15789473684210525,0.7610008628127696,0.3275048317515099,5.7660893011216565,104.66595867421859
sce-1m,etg_selected_outside_source_etg,268,357,0.10900763358778626,2.302521008403361,111.74789915966386,109.4453781512605,0.3174900182516542,34.09243697478992,,,,,
sce-1m,shared_selected_outside_source_etg,19,50,0.015267175572519083,1.86,106.86,105.0,0.3425221037132802,42.72,0.0,0.0,0.0,0.0,
sce-1m,synergy_selected_outside_source_etg,303,379,0.11572519083969465,5.572559366754618,103.07651715039577,97.50395778364116,0.37479942690830476,46.16358839050132,0.0,0.005277044854881266,0.0005277044854881266,0.013119788918205802,1.0
sce-2,source_etg_supported,1739,2347,0.9437072778447929,27.236472092032383,113.18193438432041,85.94546229228803,0.487016605039613,74.90413293566255,0.11013215859030837,0.5268722466960353,0.3188195594713656,1.5417357709251103,79.33772066458982
sce-2,etg_selected_outside_source_etg,34,44,0.01769199839163651,44.93181818181818,90.4090909090909,45.47727272727273,0.711141131595677,76.8409090909091,,,,,
sce-2,shared_selected_outside_source_etg,0,0,0.0,,,,,,,,,,
sce-2,synergy_selected_outside_source_etg,65,96,0.038600723763570564,46.4375,90.90625,44.46875,0.7206439393939394,79.09375,0.010416666666666666,0.9583333333333334,0.28703437499999995,1.5391072916666666,7.119791666666667
sce-2m,source_etg_supported,511,2602,0.9346264367816092,10.93466564181399,97.804381245196,86.86971560338202,0.4989621254994046,50.59185242121445,0.07098283931357255,0.5405616224648986,0.3186461778471139,2.3117852574102966,358.3916574381691
sce-2m,etg_selected_outside_source_etg,33,54,0.01939655172413793,0.05555555555555555,73.33333333333333,73.27777777777777,0.5629493962827297,44.333333333333336,,,,,
sce-2m,shared_selected_outside_source_etg,10,117,0.04202586206896552,-3.230769230769231,87.28205128205128,90.51282051282051,0.4895353933815473,57.15384615384615,0.0,1.0,0.8680663157894736,0.0,262.17894736842106
sce-2m,synergy_selected_outside_source_etg,8,11,0.003951149425287357,7.363636363636363,84.54545454545455,77.18181818181819,0.5477855477855478,56.18181818181818,0.0,1.0,0.7789727272727273,0.0,152.36363636363637
sce-3,source_etg_supported,1219,1563,0.2990242969198393,19.16890595009597,131.43953934740884,112.27063339731286,0.6135128327603964,55.644913627639156,0.022191400832177532,0.624133148404993,0.13944466019417476,8.963209431345353,3.7866666666666666
sce-3,etg_selected_outside_source_etg,1627,1722,0.32944327530132006,-11.099303135888501,139.03658536585365,150.13588850174216,0.4615431716504468,57.68815331010453,,,,,
sce-3,shared_selected_outside_source_etg,39,207,0.039602066194757986,-35.594202898550726,262.57971014492756,298.17391304347825,0.12163135921340154,62.68115942028985,0.0,0.0,0.0,0.0,
sce-3,synergy_selected_outside_source_etg,1697,1735,0.3319303615840826,-11.201152737752162,137.6299711815562,148.83112391930837,0.48105153282781393,66.87492795389049,0.0,0.0005763688760806917,5.7636887608069166e-05,0.007634236311239193,1.0
sce-3m,source_etg_supported,381,730,0.1503914297486609,8.305479452054794,208.8,200.4945205479452,0.41851894747266577,56.23150684931507,0.0,0.6125356125356125,0.35409971509971505,1.259989173789174,788.697247706422
sce-3m,etg_selected_outside_source_etg,1811,1874,0.3860733415739596,-3.5570971184631803,125.78548559231591,129.34258271077908,0.5371681316402099,63.53148345784418,,,,,
sce-3m,shared_selected_outside_source_etg,90,339,0.06983930778739184,-35.610619469026545,224.63716814159292,260.24778761061947,0.21075881669463198,61.982300884955755,0.0,0.08383233532934131,0.008383233532934131,0.41357185628742515,1.0
sce-3m,synergy_selected_outside_source_etg,1837,1911,0.3936959208899876,-5.051805337519623,121.4160125588697,126.46781789638932,0.5459868397654214,62.243328100470954,0.0,0.0026164311878597592,0.00026164311878597594,0.015555991627420199,1.0
