(1, 1)	0	0.0
(1, 2)	1	-23.33186629902096
(1, 3)	2	-15.421943665249291
(1, 4)	3	-2.670100311394708
(1, 5)	4	-17.68066871652105
(1, 6)	5	-16.708792224526405
(2, 1)	6	-15.580176567148076
(2, 2)	7	-23.26687436387862
(3, 1)	8	-20.601711702440753
(3, 2)	9	-15.234693473471246
(3, 3)	10	-32.925944950264174
(4, 1)	11	-30.027574271479327
(5, 1)	12	-32.153816113124144
(1, 9)	13	0
(1, 10)	14	-24
(1, 11)	15	-6
(9, 1)	16	-9.0
(9, 2)	17	-22.5
(9, 3)	18	-46.5
(2, 7)	19	-51.0
(3, 4)	20	-40.906494140625
(4, 3)	21	-50.4228515625
(5, 2)	22	-45.18745625624433
(1, 7)	23	-3.5761750361018585e-07
(1, 12)	24	-7.012171456006497
(1, 8)	25	-5.501094302933265
(2, 3)	26	0.6763899869787257
(2, 8)	27	-4.7755604909731915
(6, 3)	28	-3.1181085712742704
(6, 2)	29	2.975159294868274
(3, 5)	30	-0.7710258704854278
(3, 6)	31	12.84013186160221
(3, 7)	32	1.5350178972983544
(3, 8)	33	-3.2586850968974446
(4, 4)	34	-7.235601429648984
(5, 3)	35	-12.370628704687137
(13, 1)	36	-3.1875
(2, 11)	37	-20.0625
(6, 4)	38	-17.792369616916403
(3, 9)	39	-8.63929088491623
(4, 5)	40	-11.866791912444445
(1, 17)	41	-6.0
(1, 18)	42	-0.5351693005879383
(2, 4)	43	-23.12914384420231
(2, 13)	44	-8.142333984375
(2, 14)	45	-18.9375
(2, 15)	46	-18.3046875
(14, 1)	47	-44.25
(15, 1)	48	-62.4375
(15, 2)	49	-66.0
(16, 1)	50	-67.5
(1, 21)	51	-24
(1, 22)	52	-39.0
(13, 7)	53	-39
(2, 18)	54	-39.0
(14, 2)	55	-51
(14, 3)	56	-49.5
(14, 4)	57	-57
(15, 3)	58	-55.875
(1, 24)	59	-24.1171875
(1, 25)	60	-33.0
(1, 26)	61	-21.000000000000597
(9, 6)	62	-42.375
(2, 19)	63	-27.298828125
(14, 5)	64	-30.375
(14, 6)	65	-38.859375
(14, 7)	66	-54.0
(15, 4)	67	-56.0625
(16, 2)	68	-68.53271484375
(2, 20)	69	6.911127948900685
(2, 21)	70	0.903332142601704
(2, 22)	71	-9.205790585817688
(6, 7)	72	-0.6891918250161093
(6, 8)	73	-2.976724342079962
(18, 1)	74	8.613291271606599
(19, 1)	75	20.976728681452535
(1, 13)	76	-7.361207274793088
(1, 29)	77	-31.875
(9, 7)	78	-54.0
(9, 8)	79	-63
(9, 9)	80	-75
(10, 4)	81	-78
(11, 2)	82	-81.0
(15, 5)	83	-84
(16, 3)	84	-99.0
(1, 19)	85	-4.257779157661973e-53
(1, 20)	86	5.068933767166174
(13, 11)	87	-25.6875
(2, 25)	88	-19.5
(14, 8)	89	-19.599821090698242
(14, 9)	90	-18.48157224431634
(3, 14)	91	-10.478464747779071
(3, 17)	92	-26.0625
(4, 9)	93	-23.62971373385517
(1, 30)	94	-3.3017578125
(1, 31)	95	-37.5
(1, 32)	96	-25.5
(9, 10)	97	-45
(2, 26)	98	-42
(14, 10)	99	-42.0
(15, 6)	100	-51.0
(15, 7)	101	-60
(16, 4)	102	-81.0
(1, 35)	103	-3.3515625
(1, 36)	104	-3.375
(13, 12)	105	-10.125
(13, 13)	106	-4.125
(2, 27)	107	3.0
(2, 28)	108	0.0
(2, 29)	109	-6.0
(15, 8)	110	-12.0
(4, 10)	111	-9.0
(4, 11)	112	-29.590576171875
(1, 41)	113	-2.203125
(2, 32)	114	-2.25
(2, 30)	115	3.75
(2, 33)	116	-15.75
(3, 19)	117	-20.833202362060547
(3, 16)	118	-17.34970486164093
(4, 7)	119	-25.683462072369668
(1, 38)	120	-3.0
(1, 45)	121	-22.875
(1, 40)	122	-21.75
(9, 13)	123	-30.0
(9, 14)	124	-36.0
(10, 6)	125	-50.25
(10, 7)	126	-52.5
(11, 5)	127	-67.5
(16, 7)	128	-84.0
(1, 42)	129	-5.25
(1, 46)	130	-8.25
(3, 20)	131	-9.0
(20, 1)	132	8.489545907708536
(20, 2)	133	18.841565925588412
(20, 3)	134	30.232472054605807
(21, 1)	135	28.544304749315195
(1, 47)	136	1.5080612071942086
(13, 8)	137	2.9999842643737793
(13, 9)	138	-6.75
(13, 15)	139	9
(17, 6)	140	11.25
(17, 7)	141	18
(22, 1)	142	36.0
(23, 1)	143	36
(13, 16)	144	1.5
(6, 13)	145	9.186767578125
(6, 15)	146	9.0
(3, 21)	147	0
(3, 22)	148	3.0893554265443584
(1, 48)	149	-12.8759765625
(14, 14)	150	-16.875
(15, 10)	151	-12.0
(15, 9)	152	-22.875
(2, 24)	153	-1.524349540877905
(6, 1)	154	-5.675273907880182
(6, 10)	155	6.46820068359375
(3, 25)	156	-11.9326171875
(3, 26)	157	-22.1982421875
(4, 2)	158	-17.17920684814453
(1, 50)	159	-10.875
(2, 36)	160	0
(2, 37)	161	-8.25
(14, 16)	162	-6.0
(5, 4)	163	-27.0
(9, 17)	164	-9
(9, 18)	165	-15
(10, 8)	166	-30
(12, 2)	167	-54
(1, 55)	168	0
(1, 56)	169	-12
(2, 40)	170	-6
(2, 41)	171	-24
(14, 11)	172	-15.0
(14, 17)	173	-33
(14, 18)	174	-33
(15, 11)	175	-51.0
(1, 58)	176	-1.4999027028621867
(13, 18)	177	-3.0
(6, 5)	178	-9.812858064212389
(6, 17)	179	14.812408442222704
(1, 23)	180	0.5171979210192552
(13, 5)	181	-0.12653446157708004
(13, 2)	182	-8.625732421875
(6, 18)	183	-5.999267532673893
(3, 11)	184	-5.251311381639227
(3, 12)	185	10.55658711001819
(3, 13)	186	4.714197871948219
(3, 29)	187	1.59375
(7, 1)	188	-30.281734660113234
(7, 2)	189	-0.27571428082957394
(8, 1)	190	-28.051078549606892
(2, 44)	191	-33.0
(6, 20)	192	-33.0
(6, 21)	193	-15.75
(3, 31)	194	-13.52193832397461
(3, 32)	195	5.089333477662876
(1, 62)	196	-33.0
(9, 21)	197	-49.5
(9, 22)	198	-42.0
(2, 46)	199	-40.5
(14, 19)	200	-54.0
(14, 20)	201	-63.0
(14, 21)	202	-78.0
(15, 14)	203	-72
(1, 28)	204	-0.38710289899665695
(1, 64)	205	-12.75
(9, 24)	206	-36.0
(2, 47)	207	-30
(2, 48)	208	-29.25
(2, 49)	209	-48
(14, 22)	210	-48.0
(9, 25)	211	-18.0
(3, 30)	212	-5.25
(1, 65)	213	-20.0625
(1, 66)	214	-28.5
(9, 27)	215	-25.5
(2, 50)	216	-18
(2, 51)	217	-30
(14, 27)	218	-27.0
(14, 28)	219	-36.0
(14, 29)	220	-47.25
(15, 15)	221	-63.375
(16, 8)	222	-45.0
(3, 27)	223	-27.0
(3, 33)	224	4.51483154296875
(1, 69)	225	-24
(1, 70)	226	-16.5
(13, 19)	227	-21.0
(6, 25)	228	-9.0
(2, 53)	229	-30
(14, 31)	230	-40.5
(16, 6)	231	-55.5
(1, 37)	232	-12.0
(1, 72)	233	0
(1, 73)	234	-6
(1, 74)	235	-18
(13, 20)	236	-21
(17, 8)	237	-27.0
(17, 9)	238	-12.0
(17, 10)	239	0.0
(20, 6)	240	13.902535009829686
(7, 3)	241	11.595196484979072
(8, 2)	242	-3.0
(9, 32)	243	-48.0
(9, 33)	244	-48.0
(10, 13)	245	-69.0
(10, 14)	246	-78
(12, 4)	247	-96
(1, 76)	248	-18
(13, 21)	249	-21
(2, 55)	250	-24
(14, 32)	251	-24.0
(14, 33)	252	-33
(3, 36)	253	-29.336814880371094
(2, 45)	254	-2.0186815242711957
(6, 24)	255	11.415423149880088
(18, 3)	256	17.509106947211574
(2, 57)	257	-5.71875
(3, 40)	258	3.7223719063032554
(13, 23)	259	1.0231860227668461
(13, 24)	260	3.250097656622529
(17, 11)	261	6.0
(17, 12)	262	18
(17, 13)	263	27.0
(18, 4)	264	12.69028721011324
(18, 5)	265	24
(1, 79)	266	-1.5
(2, 58)	267	-3.97265625
(14, 35)	268	-7.125
(14, 36)	269	-15
(3, 15)	270	-21.8466796875
(1, 80)	271	0
(1, 81)	272	-24
(1, 82)	273	-21.0
(13, 25)	274	-6.0
(2, 59)	275	-22.125
(2, 60)	276	-30
(6, 26)	277	-21
(6, 27)	278	-18.0
(6, 28)	279	-1.5
(9, 36)	280	-8.25
(6, 19)	281	-1.4104156494140625
(1, 86)	282	5.047027587890625
(13, 27)	283	-13.5
(13, 28)	284	-15
(17, 1)	285	0.0
(17, 14)	286	9.0
(17, 15)	287	21.0
(22, 2)	288	24.0
(13, 22)	289	-9.0
(13, 26)	290	-15
(2, 52)	291	-9.0
(2, 62)	292	-12.0
(2, 63)	293	-9.0
(15, 16)	294	-16.96875
(15, 17)	295	-27.46875
(15, 18)	296	-36.9375
(16, 10)	297	-41.625
(1, 71)	298	-24.0
(2, 65)	299	-27.375
(2, 66)	300	-19.5
(14, 42)	301	-43.5
(3, 41)	302	-22.395263671875
(3, 35)	303	-29.1595458984375
(1, 88)	304	-18
(1, 87)	305	-12.0
(14, 23)	306	-30.0
(14, 43)	307	-24.375
(2, 69)	308	-6.0
(2, 70)	309	-11.3203125
(3, 42)	310	5.730348318815231
(20, 7)	311	12.27266979760958
(7, 4)	312	6.0
(24, 1)	313	13.145509429904322
(3, 24)	314	-4.5
(3, 28)	315	-15.0
(20, 4)	316	-13.940235995456087
(2, 71)	317	6
(14, 15)	318	-3
(1, 57)	319	-2.25
(1, 43)	320	0.0
(6, 30)	321	-9.375
(1, 84)	322	-24.0
(13, 34)	323	-21
(2, 74)	324	-27.0
(14, 41)	325	-36.0
(14, 45)	326	-43.5
(14, 26)	327	-57.0
(15, 20)	328	-48.0
(13, 35)	329	-12.0
(14, 46)	330	-16.3125
(1, 63)	331	0.0
(1, 85)	332	0
(9, 40)	333	-15
(14, 34)	334	-26.9765625
(3, 10)	335	-5.045174348089228
(3, 44)	336	15.372958258227952
(6, 32)	337	7.352191217478376
(3, 45)	338	9.468749924560825
(20, 8)	339	21.053078068762286
(21, 3)	340	36.00000000069851
(9, 43)	341	-12.01171875
(2, 76)	342	-42
(2, 6)	343	-42
(14, 49)	344	-42.0
(15, 21)	345	-35.0625
(15, 22)	346	-63.375
(2, 78)	347	-9.0
(2, 79)	348	-1.3125
(2, 80)	349	-0.46875
(6, 35)	350	-9.041427612304688
(3, 46)	351	-25.87549723405391
