experiment_id,method_group,map_id,map_key,variant,base_variant_id,base_variant_rank,base_variant_trial,backup_condition,baseline_variant,score_mean,score_delta_vs_multi_step_no_switch,terminal_hp_delta_mean,terminal_hp_delta_delta_vs_multi_step_no_switch,win_rate,win_rate_delta_vs_multi_step_no_switch,loss_count,loss_delta_vs_multi_step_no_switch,path_diverged_rate,path_diverged_out_of_beam_ratio,path_diverged_has_backup_ratio,switch_rate_per_divergence,switch_frames_per_100,candidate_mean_planning_score_gain,candidate_mean_future_reward_gain,decision_elapsed_ms_mean,beam_plan_call_count,beam_plan_calls_per_100_frames,beam_plan_ms_mean,beam_plan_ms_total,beam_plan_ms_per_frame,beam_plan_ms_per_frame_delta_vs_multi_step_no_switch
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ns,rank01_trial0019,1,19,fixed_pool_multi_step_no_switch,rank01_trial0019_ms_ns,48.66,0.0,48.66,0.0,1.0,0.0,0,0.0,0.30583058305830585,0.4316546762589928,0.2697841726618705,0.0,0.0,-0.004558750832871551,1.3158661453088625,0.3011962857141778,812,89.32893289328933,2.8867389162560464,2344.0319999999097,2.5786930693068313,0.0
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,rank01_trial0019_ms_ns,48.96,0.30000000000000426,48.96,0.30000000000000426,1.0,0.0,0,0.0,0.28726877040261156,0.5454545454545454,0.2159090909090909,0.2159090909090909,6.2023939064200215,-0.00571636552760969,1.2109778848307766,0.30699014492760507,779,84.76605005440696,2.908278048780411,2265.54859999994,2.4652324265505334,-0.11346064275629786
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_fz020,rank01_trial0019,1,19,fixed_pool_multi_step_switch_fuzzy020,rank01_trial0019_ms_ns,55.38,6.720000000000006,55.38,6.720000000000006,1.0,0.0,0,0.0,0.265658747300216,0.516260162601626,0.2764227642276423,0.2764227642276423,7.34341252699784,-0.004673364123422365,1.2952000344891867,0.27487082066859153,782,84.44924406047517,2.801738746802938,2190.9596999998976,2.3660471922245114,-0.21264587708231986
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_fz050,rank01_trial0019,1,19,fixed_pool_multi_step_switch_fuzzy050,rank01_trial0019_ms_ns,52.62,3.960000000000001,52.62,3.960000000000001,1.0,0.0,0,0.0,0.27986725663716816,0.5138339920948617,0.233201581027668,0.2450592885375494,6.8584070796460175,-0.003817475405094344,1.3544315331791235,0.3044305555555127,769,85.06637168141593,2.604454226267901,2002.8253000000157,2.215514712389398,-0.3631783569174334
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank02_trial0051_ms_ns,rank02_trial0051,2,51,fixed_pool_multi_step_no_switch,rank02_trial0051_ms_ns,50.46,0.0,50.46,0.0,1.0,0.0,0,0.0,0.015418502202643172,1.0,0.0,0.0,0.0,-0.011425223905716306,0.39022380319148964,0.29645878594245223,830,91.40969162995594,0.7720703614458565,640.8184000000609,0.7057471365639437,0.0
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank02_trial0051_ms_ex,rank02_trial0051,2,51,fixed_pool_multi_step_switch_exact,rank02_trial0051_ms_ns,48.42,-2.039999999999999,48.42,-2.039999999999999,1.0,0.0,0,0.0,0.016357688113413305,0.7333333333333333,0.13333333333333333,0.13333333333333333,0.21810250817884405,-0.01386965492285968,0.36961171465968595,0.28224919614136457,832,90.73064340239912,0.46360420673074354,385.71869999997864,0.4206310796073922,-0.2851160569565515
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank02_trial0051_ms_fz020,rank02_trial0051,2,51,fixed_pool_multi_step_switch_fuzzy020,rank02_trial0051_ms_ns,50.52,0.060000000000002274,50.52,0.060000000000002274,1.0,0.0,0,0.0,0.022172949002217297,0.75,0.15,0.15,0.3325942350332594,-0.017545774133042452,0.38411185770751005,0.2677993710693242,821,91.01995565410199,0.4465161997564248,366.58980000002475,0.40641884700667935,-0.29932828955726437
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank02_trial0051_ms_fz050,rank02_trial0051,2,51,fixed_pool_multi_step_switch_fuzzy050,rank02_trial0051_ms_ns,49.86,-0.6000000000000014,49.86,-0.6000000000000014,1.0,0.0,0,0.0,0.029850746268656716,0.9642857142857143,0.03571428571428571,0.03571428571428571,0.10660980810234541,-0.0076988775725042235,0.4357001434720231,0.2719436657682423,886,94.45628997867804,0.7466795711060935,661.5580999999988,0.7052858208955212,-0.0004613156684225572
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank03_trial0031_ms_ns,rank03_trial0031,3,31,fixed_pool_multi_step_no_switch,rank03_trial0031_ms_ns,53.16,0.0,53.16,0.0,1.0,0.0,0,0.0,0.23782559456398641,0.5761904761904761,0.3380952380952381,0.0,0.0,-0.0027796915198764227,2.045246576305221,0.28352314814815444,767,86.8629671574179,0.7642752281617429,586.1991000000568,0.6638721404304154,0.0
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank03_trial0031_ms_ex,rank03_trial0031,3,31,fixed_pool_multi_step_switch_exact,rank03_trial0031_ms_ns,50.82,-2.3399999999999963,50.82,-2.3399999999999963,0.96,-0.040000000000000036,2,2.0,0.17483296213808464,0.5859872611464968,0.2611464968152866,0.2611464968152866,4.565701559020044,-0.005462584396042475,1.7970967693236717,0.27539245283028524,732,81.51447661469933,1.0403840163934497,761.5611000000051,0.8480635857461082,0.18419144531569276
