experiment_id,method_group,map_id,map_key,variant,base_variant_id,base_variant_rank,base_variant_trial,backup_condition,episode_id,result,score,terminal_hp_delta,frame_count,switch_count,diverge_count,diverged_out_of_beam_count,plan_switch_candidate_count,mean_candidate_planning_score_gain
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ns,rank01_trial0019,1,19,fixed_pool_multi_step_no_switch,24,Win,66.0,66.0,19,0,7,2,173,-0.0004727488754785503
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ns,rank01_trial0019,1,19,fixed_pool_multi_step_no_switch,25,Win,54.0,54.0,19,0,8,6,149,-0.0026215111095896026
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ns,rank01_trial0019,1,19,fixed_pool_multi_step_no_switch,26,Win,36.0,36.0,17,0,4,3,103,-0.0014977909578139882
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ns,rank01_trial0019,1,19,fixed_pool_multi_step_no_switch,27,Win,42.0,42.0,18,0,7,3,126,-0.002349039944421346
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ns,rank01_trial0019,1,19,fixed_pool_multi_step_no_switch,28,Win,48.0,48.0,18,0,4,3,135,-0.004457826845115241
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ns,rank01_trial0019,1,19,fixed_pool_multi_step_no_switch,29,Win,69.0,69.0,17,0,1,1,15,-0.0027499021087339075
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ns,rank01_trial0019,1,19,fixed_pool_multi_step_no_switch,30,Win,39.0,39.0,19,0,4,1,129,-0.0022879486628121603
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ns,rank01_trial0019,1,19,fixed_pool_multi_step_no_switch,31,Win,33.0,33.0,19,0,4,0,104,-0.0037433911026094635
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ns,rank01_trial0019,1,19,fixed_pool_multi_step_no_switch,32,Win,69.0,69.0,14,0,5,3,86,-0.0007719744395161491
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ns,rank01_trial0019,1,19,fixed_pool_multi_step_no_switch,33,Win,42.0,42.0,18,0,6,3,117,-0.002425973623579806
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ns,rank01_trial0019,1,19,fixed_pool_multi_step_no_switch,34,Win,54.0,54.0,20,0,8,1,144,-0.0013216714813773119
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ns,rank01_trial0019,1,19,fixed_pool_multi_step_no_switch,35,Win,66.0,66.0,19,0,6,1,174,-0.0007444401252185068
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ns,rank01_trial0019,1,19,fixed_pool_multi_step_no_switch,36,Win,51.0,51.0,16,0,2,2,16,-0.001712045775803854
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ns,rank01_trial0019,1,19,fixed_pool_multi_step_no_switch,37,Win,15.0,15.0,21,0,4,0,156,-0.031547446401986264
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ns,rank01_trial0019,1,19,fixed_pool_multi_step_no_switch,38,Win,54.0,54.0,20,0,9,2,169,-0.0010651144643227944
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ns,rank01_trial0019,1,19,fixed_pool_multi_step_no_switch,39,Win,42.0,42.0,20,0,8,2,166,-0.0019448022684741123
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ns,rank01_trial0019,1,19,fixed_pool_multi_step_no_switch,40,Win,36.0,36.0,20,0,4,3,151,-0.0007519870963363178
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ns,rank01_trial0019,1,19,fixed_pool_multi_step_no_switch,41,Win,42.0,42.0,18,0,6,4,116,-0.004763406956331198
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ns,rank01_trial0019,1,19,fixed_pool_multi_step_no_switch,42,Win,45.0,45.0,19,0,5,4,144,-0.004189607166345531
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ns,rank01_trial0019,1,19,fixed_pool_multi_step_no_switch,43,Win,57.0,57.0,17,0,2,2,44,-0.0007834913099249844
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ns,rank01_trial0019,1,19,fixed_pool_multi_step_no_switch,44,Win,39.0,39.0,18,0,8,4,155,-0.003286224035299278
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ns,rank01_trial0019,1,19,fixed_pool_multi_step_no_switch,45,Win,36.0,36.0,19,0,5,4,134,-0.002050473726444245
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ns,rank01_trial0019,1,19,fixed_pool_multi_step_no_switch,46,Win,84.0,84.0,17,0,6,3,121,-0.0015614869651634784
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ns,rank01_trial0019,1,19,fixed_pool_multi_step_no_switch,47,Win,42.0,42.0,20,0,7,2,147,-0.002263781541725702
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ns,rank01_trial0019,1,19,fixed_pool_multi_step_no_switch,48,Win,42.0,42.0,20,0,9,2,171,-0.002053815543150884
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ns,rank01_trial0019,1,19,fixed_pool_multi_step_no_switch,49,Win,42.0,42.0,20,0,9,4,167,-0.0022465515095612455
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ns,rank01_trial0019,1,19,fixed_pool_multi_step_no_switch,50,Win,60.0,60.0,18,0,6,0,119,-0.000751992239877226
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,1,Win,48.0,48.0,18,0,7,4,130,-0.0025593586830838276
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,2,Win,42.0,42.0,19,1,8,4,137,-0.0018389377713833707
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,3,Win,15.0,15.0,23,2,3,0,201,-0.0331196234080487
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,4,Win,60.0,60.0,17,1,3,0,110,-0.0016249685494365623
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,5,Win,42.0,42.0,20,1,6,4,149,-0.0021779291470546934
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,6,Win,48.0,48.0,20,0,6,4,150,-0.0029603948592994704
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,7,Win,42.0,42.0,19,1,7,4,123,-0.0023292370903578354
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,8,Win,48.0,48.0,20,2,5,3,167,-0.001922126766243326
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,9,Win,78.0,78.0,17,1,5,2,151,-0.0008069146409789153
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,10,Win,36.0,36.0,20,2,5,1,145,-0.0020652621977082764
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,11,Win,9.0,9.0,22,2,6,3,154,-0.0429229619022588
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,12,Win,42.0,42.0,20,2,7,3,170,-0.0017678644142857072
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,13,Win,48.0,48.0,21,2,4,2,170,-0.0016780791593206642
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,14,Win,63.0,63.0,15,1,5,3,101,-0.0007974711179294891
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,15,Win,36.0,36.0,16,0,4,4,66,-0.0013264173407522772
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,16,Win,63.0,63.0,15,0,5,3,86,-0.0008480949215407451
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,17,Win,48.0,48.0,17,1,6,4,118,-0.0035440790429237565
