map_key,parameter,metric,pearson,spearman,n
sce-1,beam_width,objective,0.032552412814437146,0.061030426940546625,200
sce-1,beam_width,avg_score,0.008641808829489001,0.006059806017002974,200
sce-1,beam_width,win_rate,0.02343361003512355,0.06744931892846638,200
sce-1,beam_width,stability,-0.10478735155189253,-0.11659222674994864,200
sce-1,beam_width,score_std,-0.09912877635761484,-0.08874813652756908,200
sce-1,lookahead_steps,objective,-0.006384055416049185,0.011706164565685299,200
sce-1,lookahead_steps,avg_score,0.013659930785372908,0.03792008587155977,200
sce-1,lookahead_steps,win_rate,-0.016670007137342846,-0.039585776777467836,200
sce-1,lookahead_steps,stability,0.08896662653628626,0.07045751642980083,200
sce-1,lookahead_steps,score_std,0.10704831890537546,0.04887512515279511,200
sce-1,min_visits,objective,0.4208318663715652,-0.01198746884866649,200
sce-1,min_visits,avg_score,0.4675651775175073,0.025177109238202034,200
sce-1,min_visits,win_rate,0.41966929963156396,-0.1099545640558397,200
sce-1,min_visits,stability,-0.042771914496480934,0.018408904029509777,200
sce-1,min_visits,score_std,-0.08853589270471467,0.1493706387195569,200
sce-1,max_state_revisits,objective,-0.03012875634095891,-0.08019088736461022,200
sce-1,max_state_revisits,avg_score,-0.010548996462320184,-0.07150631100539288,200
sce-1,max_state_revisits,win_rate,-0.02496571518639157,-0.1930852517319808,200
sce-1,max_state_revisits,stability,0.06841860268562415,0.04418215304754145,200
sce-1,max_state_revisits,score_std,0.10280552853004701,0.18095111916918055,200
sce-1,min_cum_prob,objective,0.05381718097114758,0.06368409210230257,200
sce-1,min_cum_prob,avg_score,0.03549627174808437,0.05291013227723923,200
sce-1,min_cum_prob,win_rate,0.041099880012891166,0.1360830060973844,200
sce-1,min_cum_prob,stability,-0.11107265765457781,-0.09119027975699394,200
sce-1,min_cum_prob,score_std,-0.09794101653534314,-0.08448811220280508,200
sce-1,discount_factor,objective,0.14498730735814805,0.07326033150828772,200
sce-1,discount_factor,avg_score,0.15489215621839683,0.08605274812809931,200
sce-1,discount_factor,win_rate,0.14552273332874063,0.012378221171725079,200
sce-1,discount_factor,stability,0.011517138353141618,0.021930548263706596,200
sce-1,discount_factor,score_std,-0.06504407363579447,0.013087827195679894,200
sce-1,backup_enabled,objective,0.09292821306321708,0.11197337480491668,200
sce-1,backup_enabled,avg_score,0.0861737234154638,0.13417921612255004,200
sce-1,backup_enabled,win_rate,0.08608089358039947,0.1051072899939352,200
sce-1,backup_enabled,stability,-0.040202145480414175,-0.03283607404616754,200
sce-1,backup_enabled,score_std,-0.09606186584011758,-0.08126337749555133,200
sce-1,backup_score_threshold,objective,0.07221342444416932,0.030307095023815435,168
sce-1,backup_score_threshold,avg_score,0.06338217182522944,-0.020749300690234444,168
sce-1,backup_score_threshold,win_rate,0.0793712587309699,-0.020866065371009813,168
sce-1,backup_score_threshold,stability,-0.08261957619306477,-0.07281548483759448,168
sce-1,backup_score_threshold,score_std,-0.005600223069907296,0.1094193692074853,168
sce-1,backup_distance_threshold,objective,-0.07317944475046492,0.08895733469662535,168
sce-1,backup_distance_threshold,avg_score,-0.08983566238359768,0.08662013670471659,168
sce-1,backup_distance_threshold,win_rate,-0.1032637666793799,0.07032622296009708,168
sce-1,backup_distance_threshold,stability,-0.04988199583794393,-0.08845116191960965,168
sce-1,backup_distance_threshold,score_std,-0.0004373726366414002,-0.07174999114197642,168
sce-1,masked_count,objective,-0.08659560712508933,-0.15610161386567414,200
sce-1,masked_count,avg_score,-0.06737457834626923,-0.1393123013055418,200
sce-1,masked_count,win_rate,-0.07547271159083627,-0.170096144121946,200
sce-1,masked_count,stability,0.08606989028887499,0.06264672687664455,200
sce-1,masked_count,score_std,0.11678607171258781,0.1388893282753966,200
sce-1m,beam_width,objective,0.0851584079495489,0.00563122679075723,200
sce-1m,beam_width,avg_score,0.10769348508902712,0.02506402559931009,200
sce-1m,beam_width,win_rate,0.11039449490808556,0.028378865682062413,200
sce-1m,beam_width,stability,0.03717152781160363,0.08242466882174064,200
sce-1m,beam_width,score_std,-0.14517316026091426,-0.05753527714091528,200
sce-1m,lookahead_steps,objective,-0.2144451308613484,-0.039943700934534754,200
sce-1m,lookahead_steps,avg_score,-0.25858451159147927,-0.06278698411349441,200
sce-1m,lookahead_steps,win_rate,-0.2528448427758845,-0.05604766277079585,200
sce-1m,lookahead_steps,stability,-0.08132568338068141,-0.06854875200479772,200
sce-1m,lookahead_steps,score_std,0.1602135479462874,-0.006975983908402945,200
sce-1m,min_visits,objective,0.4146080250111398,0.21294684111777903,200
sce-1m,min_visits,avg_score,0.46379227884606045,0.23552140229418148,200
sce-1m,min_visits,win_rate,0.4533639839669457,0.24545518978737424,200
sce-1m,min_visits,stability,-0.03423334046915457,0.034848364689120837,200
sce-1m,min_visits,score_std,-0.2925136983485436,-0.20328770317454412,200
sce-1m,max_state_revisits,objective,0.18671197388226576,0.219564047318074,200
sce-1m,max_state_revisits,avg_score,0.16903581236074502,0.21934570018155322,200
sce-1m,max_state_revisits,win_rate,0.18073615904778487,0.2187733947258164,200
sce-1m,max_state_revisits,stability,0.01563658685843669,0.03384250045704408,200
sce-1m,max_state_revisits,score_std,-0.21128788464502804,-0.1417687659401824,200
sce-1m,min_cum_prob,objective,-0.15901509656771226,-0.2817235430885772,200
sce-1m,min_cum_prob,avg_score,-0.12975098223991838,-0.26788599852188094,200
sce-1m,min_cum_prob,win_rate,-0.14434104252083432,-0.25506429825119054,200
sce-1m,min_cum_prob,stability,0.074735470493812,0.06337958448961224,200
sce-1m,min_cum_prob,score_std,0.27900920493461046,0.22648016200405013,200
sce-1m,discount_factor,objective,-0.026166249483666162,-0.023868596714917877,200
sce-1m,discount_factor,avg_score,-0.006554402510097068,-0.007180687595467975,200
sce-1m,discount_factor,win_rate,0.014488631306342944,0.008000573024081517,200
sce-1m,discount_factor,stability,0.12463622660381424,0.0983049576239406,200
sce-1m,discount_factor,score_std,-0.04702543792530192,-0.027392184804620117,200
sce-1m,backup_enabled,objective,-0.27548014106218016,-0.24133542923298357,200
sce-1m,backup_enabled,avg_score,-0.25346168581986067,-0.21694231950724208,200
sce-1m,backup_enabled,win_rate,-0.25825452488352796,-0.24667977880594152,200
sce-1m,backup_enabled,stability,0.13078085799392308,0.12153375084579676,200
sce-1m,backup_enabled,score_std,0.22602620177479826,0.20582794383148,200
sce-1m,backup_score_threshold,objective,0.2891485566337238,0.16541353383458643,20
sce-1m,backup_score_threshold,avg_score,0.29562501037744104,0.1413533834586466,20
