experiment_id,map_key,map_id,trial,state,objective,avg_score,win_rate,score_std,stability,penalty_factor,num_episodes,status,phase,result_file,action_strategy,mode,beam_width,lookahead_steps,score_mode,min_visits,max_state_revisits,min_cum_prob,discount_factor,enable_backup,backup_score_threshold,backup_distance_threshold,masked_count,mask_0,mask_1,mask_2,is_multi_step,backup_enabled,scene_order
sce1_etg_run_0068,sce-1,MarineMicro_MvsM_4,11,TrialState.COMPLETE,44.857410224222086,47.89655172413793,1.0,17.704168275191304,2.538087933695015,0.9365478016576246,116.0,completed,etg_only,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\training_runs\run_0068\trials\trial_0011,best_subtree_winrate,multi_step,10,2,quality,6,1,0.028583270352665145,0.8582116032488416,True,0.9956178741407942,0.9572929918589043,1,10.0,,,1,1,0
sce1_etg_run_0068,sce-1,MarineMicro_MvsM_4,12,TrialState.COMPLETE,44.745598056342786,48.744,0.992,18.995116846179176,2.985024082084886,0.9253743979478779,125.0,completed,etg_only,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\training_runs\run_0068\trials\trial_0012,best_subtree_winrate,multi_step,9,2,quality,6,1,0.03215750776650425,0.9074537193978971,True,0.9983608982318003,0.9870247631124994,0,,,,1,1,0
sce1_etg_run_0068,sce-1,MarineMicro_MvsM_4,13,TrialState.COMPLETE,45.88337768770731,48.5945945945946,1.0,17.98116050047256,2.231702459506775,0.9442074385123306,111.0,completed,etg_only,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\training_runs\run_0068\trials\trial_0013,best_subtree_winrate,multi_step,10,7,quality,5,2,0.016253241121997018,0.7948600397727954,True,0.6424332610120511,0.6310056170515543,1,10.0,,,1,1,0
sce1_etg_run_0068,sce-1,MarineMicro_MvsM_4,14,TrialState.COMPLETE,45.06348826119435,49.625,1.0,16.141077256490657,3.6767852806493884,0.9080803679837652,120.0,completed,etg_only,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\training_runs\run_0068\trials\trial_0014,best_subtree_winrate,multi_step,8,2,quality,7,1,0.09353216098825012,0.9741172380014204,True,0.3937962157576021,0.027219026391197,0,,,,1,1,0
sce1_etg_run_0068,sce-1,MarineMicro_MvsM_4,15,TrialState.COMPLETE,0.8301855114950002,1.6721311475409837,0.5409836065573771,29.237984115365087,3.2903114881414672,0.9177422127964633,122.0,completed,etg_only,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\training_runs\run_0068\trials\trial_0015,best_subtree_winrate,multi_step,9,4,future_reward,5,2,0.05032080089576964,0.8795854225236499,True,0.729902840570587,0.6975044705398569,1,7.0,,,1,1,0
sce1_etg_run_0068,sce-1,MarineMicro_MvsM_4,16,TrialState.COMPLETE,48.733966267262,51.50847457627118,0.9915254237288136,17.10622136935826,1.8311384308628205,0.9542215392284294,118.0,completed,etg_only,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\training_runs\run_0068\trials\trial_0016,best_subtree_winrate,multi_step,8,7,quality,7,3,0.009593416372993263,0.7482690114488482,True,0.8353788760191748,0.9973367692750128,2,8.0,10.0,,1,1,0
sce1_etg_run_0068,sce-1,MarineMicro_MvsM_4,17,TrialState.COMPLETE,45.87778297439914,49.869565217391305,0.9710144927536232,20.630927286007513,2.103323879102434,0.9474169030224392,138.0,completed,etg_only,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\training_runs\run_0068\trials\trial_0017,best_subtree_winrate,multi_step,8,9,quality,8,3,0.004354209536991511,0.7307005412116382,True,0.7810662589619394,0.7877878609794685,2,8.0,10.0,,1,1,0
sce1_etg_run_0068,sce-1,MarineMicro_MvsM_4,18,TrialState.COMPLETE,49.578524652966266,50.66379310344828,0.9913793103448276,15.9757056751576,0.516464168775016,0.9870883957806246,116.0,completed,etg_only,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\training_runs\run_0068\trials\trial_0018,best_subtree_quality,multi_step,8,7,quality,7,3,0.010641137283776638,0.7797088093460516,True,0.41505562005208363,0.3290955629819805,2,6.0,10.0,,1,1,0
sce1_etg_run_0068,sce-1,MarineMicro_MvsM_4,19,TrialState.COMPLETE,36.578565457809226,45.79338842975206,0.9256198347107438,23.9837814881006,5.481554588664702,0.8629611352833825,121.0,completed,etg_only,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\training_runs\run_0068\trials\trial_0019,best_subtree_quality,multi_step,7,7,future_reward,10,3,0.010701310612285367,0.776732504356154,True,0.36682754086610136,0.2926866606278574,2,5.0,10.0,,1,1,0
sce1_etg_run_0068,sce-1,MarineMicro_MvsM_4,20,TrialState.COMPLETE,45.58611439341188,49.08620689655172,1.0,18.682727116481626,2.852200424054945,0.9286949893986264,116.0,completed,etg_only,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\training_runs\run_0068\trials\trial_0020,best_subtree_quality,multi_step,7,11,quality,7,3,0.004866412858664581,0.7044139319630974,True,0.40240006445095444,0.2825137975289682,2,8.0,10.0,,1,1,0
sce1_etg_run_0068,sce-1,MarineMicro_MvsM_4,21,TrialState.COMPLETE,47.23489306578783,50.945945945945944,1.0,15.761646823592793,2.913717911211673,0.9271570522197081,111.0,completed,etg_only,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\training_runs\run_0068\trials\trial_0021,best_subtree_quality,multi_step,8,7,quality,7,4,0.015235108598711817,0.8285883029224396,True,0.5189889830055427,0.45892433625892237,2,6.0,7.0,,1,1,0
sce1_etg_run_0068,sce-1,MarineMicro_MvsM_4,22,TrialState.COMPLETE,-0.11289461700634372,-0.26732673267326734,0.504950495049505,27.750618970568592,6.546463672281419,0.8363384081929646,101.0,completed,etg_only,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\training_runs\run_0068\trials\trial_0022,best_subtree_quality,multi_step,9,8,quality,5,2,0.007647281672770439,0.7756406557280897,True,0.815981592450115,0.06271589810696471,2,6.0,4.0,,1,1,0
