idx,map_id,method,experiment_id,episode_id,result,score,sequence_length,mds_x,mds_y
40,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,17,Win,81.0,13,-0.7285496483278975,-0.3109185283660805
41,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,8,Win,81.0,13,0.1803473855667713,-0.6923412639303351
42,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,297,Win,78.0,12,-0.8007801192475451,-0.6418155321816361
43,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,296,Win,78.0,12,-1.4408642347098204,-0.052889910705381626
44,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,294,Win,78.0,12,0.10622353060944882,-1.1041021427480864
45,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,283,Win,78.0,12,-0.8490041148064879,-0.5965639957715844
46,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,274,Win,78.0,12,-0.9572817282420353,-0.9708952280190292
47,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,271,Win,78.0,12,-0.8338223867021705,-0.5757482213723761
48,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,261,Win,78.0,12,-0.775652969624598,-0.6317873282440319
49,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,256,Win,78.0,12,-0.8369983890889908,-0.6068171939196565
50,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,250,Win,78.0,12,0.018733725173691405,-1.1893124968752655
51,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,248,Win,78.0,12,-0.0019181566309671686,-1.3136736310815063
52,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,228,Win,78.0,12,0.07958612179240784,-1.1138073674239994
53,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,226,Win,78.0,12,0.05684688828641269,-1.256057938482162
54,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,214,Win,78.0,12,0.13438341478679472,-1.2463747107018566
55,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,210,Win,78.0,12,0.30992596421305985,-1.3728894526256175
56,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,208,Win,78.0,12,0.2377779337555127,-1.2964013048257064
57,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,202,Win,78.0,12,-0.8181522169276073,-0.5670806543047945
58,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,196,Win,78.0,12,-0.7192891478202474,-0.7930829994709363
59,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,192,Win,78.0,12,-0.5229117714017665,-1.1406749278361847
60,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,171,Win,78.0,12,-0.15165105430104503,-1.1710853409702804
61,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,162,Win,78.0,12,-1.3582140600270831,0.09727845621753657
62,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,160,Win,78.0,12,-0.9322526048629451,-0.5318425600967805
